==========================Ken Pomeroy Possessive Efficiency==========================
R: Team:									Rating:		Correct?:
298 St Francis (BKN) Terriers            	= -15.56
299 LIU Brooklyn Blackbirds              	= -15.78
300 Bradley Braves                       	= -15.97
301 Marist Red Foxes                     	= -15.98
302 Northern Colorado Bears              	= -16.32
303 Morgan State Bears                   	= -17.03
304 Sacred Heart Pioneers                	= -17.08
305 St Francis (PA) Red Flash            	= -17.36
306 VMI Keydets                          	= -17.46
307 Alabama State Hornets                	= -17.56
308 Southeastern Louisiana Lions         	= -17.89
309 Robert Morris Colonials              	= -18.00
310 Alabama A&M Bulldogs                 	= -18.10
311 Umass Lowell Umass Lowell            	= -18.61
312 New Orleans Privateers               	= -18.63
313 Presbyterian College Blue Hose       	= -18.81
314 North Carolina Central Eagles        	= -18.83
315 Lamar Cardinals                      	= -18.86
316 Abilene Christian Wildcats           	= -18.96
317 Bethune-Cookman Wildcats             	= -19.00
318 The Citadel Bulldogs                 	= -19.13
319 South Carolina Upstate Spartans      	= -19.35
320 McNeese State Cowboys                	= -19.58
321 UIC Flames                           	= -19.68
322 Hartford Hawks                       	= -19.70
323 Howard Bison                         	= -19.73
324 Maryland-Eastern Shore Hawks         	= -19.74
325 Central Arkansas Bears               	= -19.95
326 Northwestern State Demons            	= -20.00
327 Binghamton Bearcats                  	= -20.07
328 Lafayette Leopards                   	= -20.35
329 Coppin State Eagles                  	= -20.62
330 American Eagles                      	= -20.68
331 Savannah State Tigers                	= -21.14
332 UMBC Retrievers                      	= -21.42
333 Southeast Missouri State Redhawks    	= -21.49
334 Texas San Antonio Roadrunners        	= -21.53
335 Nicholls State Colonels              	= -21.63
336 Maine Black Bears                    	= -21.73
337 Alcorn State Braves                  	= -21.79
338 North Carolina A&T Aggies            	= -22.90
339 Chicago State Cougars                	= -23.75
340 Prairie View A&M Panthers            	= -23.90
341 UT Rio Grande Valley Vaqueros        	= -24.54
342 Southern Utah Thunderbirds           	= -24.64
343 Northern Arizona Lumberjacks         	= -25.06
344 Bryant Bulldogs                      	= -25.95
345 Mississippi Valley State Delta Devils	= -26.50
346 Grambling State Tigers               	= -26.90
347 Arkansas-Pine Bluff Golden Lions     	= -27.15
348 Florida A&M Rattlers                 	= -28.25
349 Delaware State Hornets               	= -29.61
350 Central Connecticut Blue Devils      	= -31.10
